name,verdict,valid_folds,positive_folds,positive_pct,total_trades,avg_return_pct,median_return_pct,worst_fold_return_pct,pooled_pf,gross_profit,gross_loss,net_pnl,worst_dd_pct,score,development_gate,side_summary
SMC_POI_VC_CHAIN,BLOCK_UNSTABLE,10,5,50.0,47,0.067,0.15,-1.99,1.2023,48.190061,40.081512,8.108549,3.97,5.1289,WATCH_DEVELOPMENT,"{'long': {'trades': 20, 'wins': 5, 'losses': 15, 'gross_profit': 13.252624, 'gross_loss': 22.781861, 'net_pnl': -9.529237, 'pf': 0.5817}, 'short': {'trades': 27, 'wins': 14, 'losses': 13, 'gross_profit': 34.937437, 'gross_loss': 17.299652, 'net_pnl': 17.637786, 'pf': 2.0195}}"
SMC_IDM_BOS_CHAIN,WATCH_TOO_SPARSE,10,3,30.0,29,0.119,0.0,-1.15,1.3414,34.770835,25.921926,8.84891,2.14,5.0031,BLOCK_DEVELOPMENT,"{'long': {'trades': 16, 'wins': 7, 'losses': 9, 'gross_profit': 13.872365, 'gross_loss': 16.035707, 'net_pnl': -2.163343, 'pf': 0.8651}, 'short': {'trades': 13, 'wins': 8, 'losses': 5, 'gross_profit': 20.898471, 'gross_loss': 9.886218, 'net_pnl': 11.012252, 'pf': 2.1139}}"
SMC_RAID_BOS_CHAIN,WATCH_TOO_SPARSE,10,5,50.0,22,-0.222,-0.145,-1.41,0.6447,15.677662,24.317215,-8.639552,2.72,2.0921,BLOCK_DEVELOPMENT,"{'long': {'trades': 6, 'wins': 2, 'losses': 4, 'gross_profit': 1.494393, 'gross_loss': 7.854303, 'net_pnl': -6.35991, 'pf': 0.1903}, 'short': {'trades': 16, 'wins': 8, 'losses': 8, 'gross_profit': 14.183269, 'gross_loss': 16.462912, 'net_pnl': -2.279642, 'pf': 0.8615}}"
SMC_HYBRID_SCORE_7,BLOCK_UNSTABLE,10,5,50.0,823,-1.509,-1.075,-7.76,1.0047,800.907891,797.15023,3.75766,10.83,-0.2099,BLOCK_DEVELOPMENT,"{'long': {'trades': 365, 'wins': 153, 'losses': 212, 'gross_profit': 311.394544, 'gross_loss': 389.711095, 'net_pnl': -78.316551, 'pf': 0.799}, 'short': {'trades': 458, 'wins': 228, 'losses': 230, 'gross_profit': 489.513347, 'gross_loss': 407.439136, 'net_pnl': 82.074212, 'pf': 1.2014}}"
SMC_SOFT_SCORE,BLOCK_UNSTABLE,10,0,0.0,3298,-6.12,-4.91,-12.3,0.883,1231.743281,1395.002873,-163.259591,14.66,-9.6011,BLOCK_DEVELOPMENT,"{'long': {'trades': 1455, 'wins': 638, 'losses': 817, 'gross_profit': 560.259105, 'gross_loss': 659.735569, 'net_pnl': -99.476464, 'pf': 0.8492}, 'short': {'trades': 1843, 'wins': 813, 'losses': 1030, 'gross_profit': 671.484176, 'gross_loss': 735.267304, 'net_pnl': -63.783127, 'pf': 0.9133}}"
SMC_DIRECTION_CONTROL,BLOCK_UNSTABLE,10,0,0.0,3073,-12.922,-11.625,-25.04,0.8769,2521.112864,2875.076876,-353.964012,26.72,-22.4513,BLOCK_DEVELOPMENT,"{'long': {'trades': 1346, 'wins': 580, 'losses': 766, 'gross_profit': 1078.848107, 'gross_loss': 1310.991413, 'net_pnl': -232.143306, 'pf': 0.8229}, 'short': {'trades': 1727, 'wins': 771, 'losses': 956, 'gross_profit': 1442.264757, 'gross_loss': 1564.085463, 'net_pnl': -121.820706, 'pf': 0.9221}}"
