fold,validation_start,validation_end,cooldown_hours,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,cooldown_blocked
fold_01,2026-01-16T00:00:00,2026-02-14T23:57:30,8.0,OK,research_500,500.0,20.0,0.005,0.005,10264,3,3,0,0,0,0,0,0,0,505.06,1.01,2.0,3.0771,66.67,1,2,2,0.8717,0.005,3,8.13971224,2.64529138,5.49442086,3.077056950551452,0
fold_02,2026-02-14T23:57:30,2026-03-16T23:55:00,8.0,OK,research_500,500.0,20.0,0.005,0.005,10056,3,3,0,0,0,0,0,0,0,503.72,0.74,1.46,41.0368,66.67,1,2,2,0.8716,0.005,3,4.25721569,0.10374136,4.15347433,41.036822010797934,7
fold_03,2026-03-16T23:55:00,2026-04-15T23:52:30,8.0,OK,research_500,500.0,20.0,0.005,0.005,10339,1,1,0,0,0,0,0,0,0,500.52,0.1,1.43,99.0,100.0,0,1,1,0.2906,0.005,1,0.66209426,0,0.66209426,inf,0
fold_04,2026-04-15T23:52:30,2026-05-15T23:50:00,8.0,OK,research_500,500.0,20.0,0.005,0.005,10970,12,12,0,0,0,0,0,0,0,493.12,-1.38,3.57,0.4489,50.0,2,7,3,3.4699,0.005,12,4.1920275,9.33934852,-5.14732102,0.44885652262693304,11
fold_05,2026-05-15T23:50:00,2026-06-14T23:47:30,8.0,OK,research_500,500.0,20.0,0.005,0.005,9960,6,6,0,0,0,0,0,0,0,508.12,1.62,3.11,5.8848,50.0,3,3,3,1.74,0.005,6,10.83232539,1.840726,8.99159939,5.884811412394785,0
fold_06,2026-06-14T23:47:30,2026-07-14T23:45:00,8.0,OK,research_500,500.0,20.0,0.005,0.005,9334,7,7,0,0,0,0,0,0,0,490.29,-1.94,3.65,0.2285,28.57,5,3,1,2.0106,0.005,7,2.57832222,11.28359993,-8.70527772,0.22850173977561006,4
