fold,validation_start,validation_end,candidate,policy_mode,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,ranking_state_counts,ranking_blocked,avg_risk_multiplier
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,484.49,-3.1,5.26,0.3996,15.38,9,9,2,2.7293,0.004212,13,9.4121996,23.55288166,-14.14068207,0.3996198736788803,"{""bottom"": 23, ""lower_mid"": 12, ""missing"": 101, ""top"": 28, ""upper_mid"": 29}",0,0.856477
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,481.36,-3.73,10.29,0.72,30.77,6,17,4,14.0851,0.00425,26,29.81004773,41.40504123,-11.5949935,0.7199617932194643,"{""bottom"": 47, ""lower_mid"": 89, ""missing"": 68, ""top"": 68, ""upper_mid"": 80}",0,0.857813
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,163,49,35,14,0,10,1,0,3,0,464.03,-7.19,15.61,0.5435,22.86,16,19,7,16.4159,0.004157,35,33.05921755,60.82604235,-27.7668248,0.5435043325940939,"{""bottom"": 55, ""lower_mid"": 57, ""missing"": 77, ""top"": 52, ""upper_mid"": 71}",0,0.850801
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,478.94,-4.21,10.15,0.7027,32.14,5,17,7,13.5944,0.004384,28,33.71476314,47.98042375,-14.26566062,0.7026774775794908,"{""bottom"": 59, ""lower_mid"": 90, ""missing"": 60, ""top"": 61, ""upper_mid"": 84}",0,0.859181
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,191,92,54,38,0,37,1,0,0,0,435.44,-12.91,20.01,0.5101,25.93,8,20,4,33.7345,0.004319,54,49.6570838,97.34778953,-47.69070573,0.5100997571550241,"{""bottom"": 44, ""lower_mid"": 42, ""missing"": 74, ""top"": 59, ""upper_mid"": 73}",0,0.863699
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,499.0,-0.2,11.22,1.2153,41.18,6,18,9,21.3206,0.004265,34,54.53747767,44.87470682,9.66277085,1.2153277767761834,"{""bottom"": 29, ""lower_mid"": 39, ""missing"": 106, ""top"": 17, ""upper_mid"": 27}",0,0.85
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,161,106,61,45,0,31,4,0,10,0,455.26,-8.95,16.36,0.7162,31.15,14,28,9,33.4347,0.004242,61,70.70277245,98.72058953,-28.01781708,0.7161907438800735,"{""bottom"": 43, ""lower_mid"": 33, ""missing"": 64, ""top"": 30, ""upper_mid"": 41}",0,0.842891
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,470.17,-5.97,8.76,0.1306,6.67,13,11,1,5.7265,0.004167,15,4.05276848,31.02074616,-26.96797769,0.1306470340168544,"{""bottom"": 23, ""lower_mid"": 35, ""missing"": 106, ""top"": 33, ""upper_mid"": 41}",0,0.854202
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,504.88,0.98,7.61,1.2938,40.0,5,15,9,10.408,0.00437,25,44.41479647,34.32878625,10.08601022,1.2938061995544843,"{""bottom"": 58, ""lower_mid"": 64, ""missing"": 62, ""top"": 73, ""upper_mid"": 81}",0,0.857396
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,RANK_SYMBOL_SOFT_RISK,symbol_soft,OK,research_500,500.0,20.0,0.005,0.005,86,45,38,7,0,3,0,0,4,0,473.46,-5.31,11.98,0.7179,28.95,10,17,5,17.0723,0.004395,38,45.81153004,63.81295729,-18.00142724,0.7179032596194165,"{""bottom"": 17, ""lower_mid"": 20, ""missing"": 95, ""top"": 23, ""upper_mid"": 30}",0,0.862162
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,485.76,-2.85,4.81,0.3996,15.38,9,9,2,2.5079,0.003865,13,8.64105938,21.62554722,-12.98448784,0.3995764496225514,"{""bottom"": 23, ""lower_mid"": 12, ""missing"": 101, ""top"": 28, ""upper_mid"": 29}",0,0.856477
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,482.47,-3.51,10.37,0.7546,30.77,6,17,5,14.5266,0.004365,26,31.56337311,41.82686257,-10.26348946,0.7546196671120883,"{""bottom"": 47, ""lower_mid"": 89, ""missing"": 68, ""top"": 68, ""upper_mid"": 80}",0,0.875568
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,163,49,35,14,0,10,1,0,3,0,462.35,-7.53,15.95,0.5427,22.86,16,19,7,17.1085,0.00435,35,34.52590026,63.62304688,-29.09714662,0.5426634207619901,"{""bottom"": 55, ""lower_mid"": 57, ""missing"": 77, ""top"": 52, ""upper_mid"": 71}",0,0.860417
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,478.64,-4.27,9.25,0.6686,32.14,5,17,7,12.7722,0.004045,28,30.21323142,45.19002343,-14.97679201,0.6685818932380984,"{""bottom"": 59, ""lower_mid"": 90, ""missing"": 60, ""top"": 61, ""upper_mid"": 84}",0,0.835169
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,191,92,54,38,0,37,1,0,0,0,442.52,-11.5,18.99,0.562,25.93,8,20,4,33.5584,0.00419,54,52.22031307,92.92568382,-40.70537074,0.5619578024949807,"{""bottom"": 44, ""lower_mid"": 42, ""missing"": 74, ""top"": 59, ""upper_mid"": 73}",0,0.855137
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,494.92,-1.02,11.1,1.1164,41.18,6,18,9,20.792,0.004154,34,50.93401835,45.62145632,5.31256204,1.1164487604182392,"{""bottom"": 29, ""lower_mid"": 39, ""missing"": 106, ""top"": 17, ""upper_mid"": 27}",0,0.835092
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,161,106,61,45,0,31,4,0,10,0,446.52,-10.7,15.84,0.6323,31.15,14,28,9,33.0429,0.004201,61,63.55323016,100.50910455,-36.9558744,0.632313166454411,"{""bottom"": 43, ""lower_mid"": 33, ""missing"": 64, ""top"": 30, ""upper_mid"": 41}",0,0.844076
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,470.83,-5.83,8.63,0.1333,6.67,13,11,1,5.6574,0.004083,15,4.05276848,30.39594589,-26.34317741,0.1333325337084307,"{""bottom"": 23, ""lower_mid"": 35, ""missing"": 106, ""top"": 33, ""upper_mid"": 41}",0,0.860504
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,503.61,0.72,7.63,1.2538,40.0,5,15,9,10.4662,0.0044,25,43.70226636,34.85514698,8.84711938,1.2538253355195697,"{""bottom"": 58, ""lower_mid"": 64, ""missing"": 62, ""top"": 73, ""upper_mid"": 81}",0,0.867012
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,RANK_SECTOR_SOFT_RISK,sector_soft,OK,research_500,500.0,20.0,0.005,0.005,86,45,38,7,0,3,0,0,4,0,474.06,-5.19,10.46,0.7258,28.95,10,17,5,16.9401,0.004395,38,46.23931132,63.71022596,-17.47091464,0.72577534645143,"{""bottom"": 17, ""lower_mid"": 20, ""missing"": 95, ""top"": 23, ""upper_mid"": 30}",0,0.862162
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,488.53,-2.29,4.57,0.4716,15.38,9,9,2,2.3376,0.003577,13,9.18897673,19.48610794,-10.29713121,0.4715655254658033,"{""bottom"": 23, ""lower_mid"": 12, ""missing"": 101, ""top"": 28, ""upper_mid"": 29}",0,0.81658
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,483.13,-3.37,10.17,0.7597,30.77,6,17,4,14.4389,0.004192,26,30.52148516,40.17384605,-9.65236089,0.7597352048273186,"{""bottom"": 47, ""lower_mid"": 89, ""missing"": 68, ""top"": 68, ""upper_mid"": 80}",0,0.815341
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,163,49,35,14,0,10,1,0,3,0,468.41,-6.32,14.53,0.5923,22.86,16,19,7,15.7862,0.004043,35,34.43502048,58.13473703,-23.69971655,0.5923312332685783,"{""bottom"": 55, ""lower_mid"": 57, ""missing"": 77, ""top"": 52, ""upper_mid"": 71}",0,0.801603
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,477.35,-4.53,9.48,0.645,32.14,5,17,6,12.8307,0.004071,28,29.49766923,45.73013802,-16.2324688,0.6450378350409014,"{""bottom"": 59, ""lower_mid"": 90, ""missing"": 60, ""top"": 61, ""upper_mid"": 84}",0,0.8
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,191,92,54,38,0,37,1,0,0,0,439.27,-12.15,19.97,0.5194,25.93,8,20,4,32.5426,0.004102,54,48.0506298,92.51370053,-44.46307073,0.5193893393396053,"{""bottom"": 44, ""lower_mid"": 42, ""missing"": 74, ""top"": 59, ""upper_mid"": 73}",0,0.826027
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,498.93,-0.21,10.77,1.2131,41.18,6,18,9,20.2288,0.003971,34,51.50377806,42.45705649,9.04672157,1.2130793398541255,"{""bottom"": 29, ""lower_mid"": 39, ""missing"": 106, ""top"": 17, ""upper_mid"": 27}",0,0.777982
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,161,106,61,45,0,31,4,0,10,0,449.92,-10.02,15.01,0.6378,31.15,14,28,7,31.4558,0.003975,61,60.48568886,94.8362906,-34.35060174,0.6377905385672655,"{""bottom"": 43, ""lower_mid"": 33, ""missing"": 64, ""top"": 30, ""upper_mid"": 41}",0,0.785308
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,472.52,-5.5,8.14,0.1334,6.67,13,11,1,5.378,0.003833,15,3.81572859,28.60216226,-24.78643367,0.1334069974529213,"{""bottom"": 23, ""lower_mid"": 35, ""missing"": 106, ""top"": 33, ""upper_mid"": 41}",0,0.815126
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,505.39,1.08,7.6,1.3162,40.0,5,15,9,10.002,0.00422,25,43.24222058,32.85387084,10.38834973,1.3161986537494978,"{""bottom"": 58, ""lower_mid"": 64, ""missing"": 62, ""top"": 73, ""upper_mid"": 81}",0,0.818343
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,RANK_HYBRID_SOFT_RISK,hybrid_soft,OK,research_500,500.0,20.0,0.005,0.005,86,45,39,6,0,3,0,0,3,0,474.75,-5.05,9.86,0.7362,28.21,11,18,5,17.436,0.004205,39,46.14826683,62.68172705,-16.53346021,0.7362315782732485,"{""bottom"": 17, ""lower_mid"": 20, ""missing"": 95, ""top"": 23, ""upper_mid"": 30}",0,0.815135
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,121,9,9,0,0,0,0,0,0,0,490.94,-1.81,4.3,0.5347,22.22,6,7,2,2.1172,0.004667,9,9.19468763,17.19600041,-8.00131278,0.5346991980859259,"{""bottom"": 23, ""lower_mid"": 12, ""missing"": 101, ""top"": 28, ""upper_mid"": 29}",4,0.895337
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,281,26,24,2,0,2,0,0,0,0,481.95,-3.61,10.55,0.7595,33.33,5,15,5,14.9594,0.005,24,33.36227768,43.92882367,-10.56654599,0.759462122920492,"{""bottom"": 47, ""lower_mid"": 89, ""missing"": 68, ""top"": 68, ""upper_mid"": 80}",3,0.961364
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,163,42,30,12,0,8,1,0,3,0,462.55,-7.49,17.11,0.538,23.33,14,15,6,16.8519,0.005,30,33.79678161,62.81685278,-29.02007117,0.538020930929583,"{""bottom"": 55, ""lower_mid"": 57, ""missing"": 77, ""top"": 52, ""upper_mid"": 71}",22,0.950641
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,288,29,24,5,0,4,1,0,0,0,468.89,-6.22,11.73,0.514,25.0,7,16,5,13.5716,0.005,24,25.73054857,50.05710737,-24.3265588,0.5140238803695547,"{""bottom"": 59, ""lower_mid"": 90, ""missing"": 60, ""top"": 61, ""upper_mid"": 84}",5,0.966102
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,191,75,42,33,0,29,1,0,3,0,441.97,-11.61,20.59,0.5025,23.81,9,18,4,29.7032,0.004929,42,43.60865559,86.78717868,-43.17852309,0.5024780878250642,"{""bottom"": 44, ""lower_mid"": 42, ""missing"": 74, ""top"": 59, ""upper_mid"": 73}",17,0.949315
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,122,37,31,6,0,4,2,0,0,0,495.32,-0.94,11.67,1.1277,41.94,6,18,9,21.2648,0.004548,31,52.57278389,46.61843478,5.95434911,1.1277252043317099,"{""bottom"": 29, ""lower_mid"": 39, ""missing"": 106, ""top"": 17, ""upper_mid"": 27}",10,0.902752
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,161,80,59,21,0,13,1,0,7,0,453.32,-9.34,16.74,0.7339,32.2,12,24,6,36.4165,0.004831,59,78.52615254,106.99504047,-28.46888794,0.7339232939138854,"{""bottom"": 43, ""lower_mid"": 33, ""missing"": 64, ""top"": 30, ""upper_mid"": 41}",26,0.939336
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,175,36,14,22,0,19,1,0,2,0,470.09,-5.98,8.61,0.1235,7.14,12,11,1,5.6756,0.004429,14,3.81572859,30.8921925,-27.07646392,0.12351757122432755,"{""bottom"": 23, ""lower_mid"": 35, ""missing"": 106, ""top"": 33, ""upper_mid"": 41}",3,0.910924
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,224,26,22,4,0,4,0,0,0,0,505.68,1.14,7.6,1.3224,40.91,4,14,8,10.277,0.004909,22,44.38145982,33.56123901,10.82022082,1.3224023050572795,"{""bottom"": 58, ""lower_mid"": 64, ""missing"": 62, ""top"": 73, ""upper_mid"": 81}",7,0.963314
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,RANK_HYBRID_BOTTOM_QUARTILE_GATE,hybrid_bottom_gate,OK,research_500,500.0,20.0,0.005,0.005,86,40,34,6,0,3,0,0,3,0,475.7,-4.86,9.86,0.7391,29.41,10,17,5,16.8235,0.004676,34,44.99819652,60.88517446,-15.88697794,0.739066561231499,"{""bottom"": 17, ""lower_mid"": 20, ""missing"": 95, ""top"": 23, ""upper_mid"": 30}",6,0.897297
