fold,candidate,state_counts,blocked_allowed_signals,risk_adjusted_allowed_signals,avg_risk_multiplier,missing_generated_sources
fold_08,RANK_SECTOR_SOFT_RISK,"{'bottom': 23, 'lower_mid': 35, 'missing': 106, 'top': 33, 'upper_mid': 41}",0,67,0.860504,0
fold_08,RANK_HYBRID_SOFT_RISK,"{'bottom': 23, 'lower_mid': 35, 'missing': 106, 'top': 33, 'upper_mid': 41}",0,67,0.815126,0
fold_08,RANK_HYBRID_BOTTOM_QUARTILE_GATE,"{'bottom': 23, 'lower_mid': 35, 'missing': 106, 'top': 33, 'upper_mid': 41}",3,64,0.910924,0
fold_09,RANK_CONTROL_NO_OVERLAY,"{'bottom': 58, 'lower_mid': 64, 'missing': 62, 'top': 73, 'upper_mid': 81}",0,58,1.0,0
fold_09,RANK_SYMBOL_SOFT_RISK,"{'bottom': 58, 'lower_mid': 64, 'missing': 62, 'top': 73, 'upper_mid': 81}",0,58,0.857396,0
fold_09,RANK_SECTOR_SOFT_RISK,"{'bottom': 58, 'lower_mid': 64, 'missing': 62, 'top': 73, 'upper_mid': 81}",0,58,0.867012,0
fold_09,RANK_HYBRID_SOFT_RISK,"{'bottom': 58, 'lower_mid': 64, 'missing': 62, 'top': 73, 'upper_mid': 81}",0,58,0.818343,0
fold_09,RANK_HYBRID_BOTTOM_QUARTILE_GATE,"{'bottom': 58, 'lower_mid': 64, 'missing': 62, 'top': 73, 'upper_mid': 81}",7,51,0.963314,0
fold_10,RANK_CONTROL_NO_OVERLAY,"{'bottom': 17, 'lower_mid': 20, 'missing': 95, 'top': 23, 'upper_mid': 30}",0,98,1.0,0
fold_10,RANK_SYMBOL_SOFT_RISK,"{'bottom': 17, 'lower_mid': 20, 'missing': 95, 'top': 23, 'upper_mid': 30}",0,98,0.862162,0
fold_10,RANK_SECTOR_SOFT_RISK,"{'bottom': 17, 'lower_mid': 20, 'missing': 95, 'top': 23, 'upper_mid': 30}",0,98,0.862162,0
fold_10,RANK_HYBRID_SOFT_RISK,"{'bottom': 17, 'lower_mid': 20, 'missing': 95, 'top': 23, 'upper_mid': 30}",0,98,0.815135,0
fold_10,RANK_HYBRID_BOTTOM_QUARTILE_GATE,"{'bottom': 17, 'lower_mid': 20, 'missing': 95, 'top': 23, 'upper_mid': 30}",6,92,0.897297,0
