fold,candidate,validation_start,validation_end,base_plans,generated_trades,overlay_counts
fold_06,SOFT_DELAY_ONE_5M_IF_ADVERSE,2025-10-15T23:52:30,2025-12-06T14:15:00,218,218,"{""adverse"": 81, ""delay_applied"": 76, ""delay_fallback_invalid_levels"": 5, ""delay_not_requested"": 137, ""neutral"": 127, ""supportive"": 10}"
fold_06,SOFT_SUPPORTIVE_110_ADVERSE_060,2025-10-15T23:52:30,2025-12-06T14:15:00,218,218,"{""adverse"": 81, ""delay_not_requested"": 218, ""neutral"": 127, ""supportive"": 10}"
fold_07,FLAT72_15M_BASELINE_CONTROL,2025-12-06T14:15:00,2026-01-27T04:37:30,211,211,"{""adverse"": 85, ""delay_not_requested"": 211, ""neutral"": 120, ""supportive"": 6}"
fold_07,SOFT_RISK_075_ON_ADVERSE,2025-12-06T14:15:00,2026-01-27T04:37:30,211,211,"{""adverse"": 85, ""delay_not_requested"": 211, ""neutral"": 120, ""supportive"": 6}"
fold_07,SOFT_RISK_050_ON_ADVERSE,2025-12-06T14:15:00,2026-01-27T04:37:30,211,211,"{""adverse"": 85, ""delay_not_requested"": 211, ""neutral"": 120, ""supportive"": 6}"
fold_07,SOFT_DELAY_ONE_5M_IF_ADVERSE,2025-12-06T14:15:00,2026-01-27T04:37:30,211,211,"{""adverse"": 85, ""delay_applied"": 75, ""delay_fallback_invalid_levels"": 10, ""delay_not_requested"": 126, ""neutral"": 120, ""supportive"": 6}"
fold_07,SOFT_SUPPORTIVE_110_ADVERSE_060,2025-12-06T14:15:00,2026-01-27T04:37:30,211,211,"{""adverse"": 85, ""delay_not_requested"": 211, ""neutral"": 120, ""supportive"": 6}"
fold_08,FLAT72_15M_BASELINE_CONTROL,2026-01-27T04:37:30,2026-03-19T19:00:00,238,238,"{""adverse"": 70, ""delay_not_requested"": 238, ""neutral"": 160, ""supportive"": 8}"
fold_08,SOFT_RISK_075_ON_ADVERSE,2026-01-27T04:37:30,2026-03-19T19:00:00,238,238,"{""adverse"": 70, ""delay_not_requested"": 238, ""neutral"": 160, ""supportive"": 8}"
fold_08,SOFT_RISK_050_ON_ADVERSE,2026-01-27T04:37:30,2026-03-19T19:00:00,238,238,"{""adverse"": 70, ""delay_not_requested"": 238, ""neutral"": 160, ""supportive"": 8}"
fold_08,SOFT_DELAY_ONE_5M_IF_ADVERSE,2026-01-27T04:37:30,2026-03-19T19:00:00,238,238,"{""adverse"": 70, ""delay_applied"": 67, ""delay_fallback_invalid_levels"": 3, ""delay_not_requested"": 168, ""neutral"": 160, ""supportive"": 8}"
fold_08,SOFT_SUPPORTIVE_110_ADVERSE_060,2026-01-27T04:37:30,2026-03-19T19:00:00,238,238,"{""adverse"": 70, ""delay_not_requested"": 238, ""neutral"": 160, ""supportive"": 8}"
fold_09,FLAT72_15M_BASELINE_CONTROL,2026-03-19T19:00:00,2026-05-10T09:22:30,338,338,"{""adverse"": 100, ""delay_not_requested"": 338, ""neutral"": 223, ""supportive"": 15}"
fold_09,SOFT_RISK_075_ON_ADVERSE,2026-03-19T19:00:00,2026-05-10T09:22:30,338,338,"{""adverse"": 100, ""delay_not_requested"": 338, ""neutral"": 223, ""supportive"": 15}"
fold_09,SOFT_RISK_050_ON_ADVERSE,2026-03-19T19:00:00,2026-05-10T09:22:30,338,338,"{""adverse"": 100, ""delay_not_requested"": 338, ""neutral"": 223, ""supportive"": 15}"
fold_09,SOFT_DELAY_ONE_5M_IF_ADVERSE,2026-03-19T19:00:00,2026-05-10T09:22:30,338,338,"{""adverse"": 100, ""delay_applied"": 92, ""delay_fallback_invalid_levels"": 8, ""delay_not_requested"": 238, ""neutral"": 223, ""supportive"": 15}"
fold_09,SOFT_SUPPORTIVE_110_ADVERSE_060,2026-03-19T19:00:00,2026-05-10T09:22:30,338,338,"{""adverse"": 100, ""delay_not_requested"": 338, ""neutral"": 223, ""supportive"": 15}"
fold_10,FLAT72_15M_BASELINE_CONTROL,2026-05-10T09:22:30,2026-06-30T23:45:00,185,185,"{""adverse"": 79, ""delay_not_requested"": 185, ""neutral"": 100, ""supportive"": 6}"
fold_10,SOFT_RISK_075_ON_ADVERSE,2026-05-10T09:22:30,2026-06-30T23:45:00,185,185,"{""adverse"": 79, ""delay_not_requested"": 185, ""neutral"": 100, ""supportive"": 6}"
fold_10,SOFT_RISK_050_ON_ADVERSE,2026-05-10T09:22:30,2026-06-30T23:45:00,185,185,"{""adverse"": 79, ""delay_not_requested"": 185, ""neutral"": 100, ""supportive"": 6}"
fold_10,SOFT_DELAY_ONE_5M_IF_ADVERSE,2026-05-10T09:22:30,2026-06-30T23:45:00,185,185,"{""adverse"": 79, ""delay_applied"": 72, ""delay_fallback_invalid_levels"": 7, ""delay_not_requested"": 106, ""neutral"": 100, ""supportive"": 6}"
fold_10,SOFT_SUPPORTIVE_110_ADVERSE_060,2026-05-10T09:22:30,2026-06-30T23:45:00,185,185,"{""adverse"": 79, ""delay_not_requested"": 185, ""neutral"": 100, ""supportive"": 6}"
