fold,validation_start,validation_end,candidate,learning,plans,generated_trades,reason_counts
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,370,370,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 151707, ""cooldown"": 111, ""insufficient_future_bars"": 2048, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 55206, ""plan_created"": 370, ""range_too_narrow"": 10160, ""volume_filter"": 1550}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,312,312,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19624, ""center_ban"": 150402, ""cooldown"": 83, ""insufficient_future_bars"": 3072, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 51973, ""plan_created"": 312, ""range_too_narrow"": 16745, ""volume_filter"": 1364}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_8H,soft,317,317,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19949, ""center_ban"": 151199, ""cooldown"": 86, ""insufficient_future_bars"": 1024, ""minimum_rr"": 38, ""no_lower_boundary_touch"": 52682, ""plan_created"": 317, ""range_too_narrow"": 16923, ""volume_filter"": 1394}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_12H,soft,317,317,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19802, ""center_ban"": 151155, ""cooldown"": 86, ""insufficient_future_bars"": 1536, ""minimum_rr"": 38, ""no_lower_boundary_touch"": 52393, ""plan_created"": 317, ""range_too_narrow"": 16891, ""volume_filter"": 1394}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_16H,soft,315,315,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19637, ""center_ban"": 151066, ""cooldown"": 85, ""insufficient_future_bars"": 2048, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 52235, ""plan_created"": 315, ""range_too_narrow"": 16811, ""volume_filter"": 1378}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,353,353,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19949, ""center_ban"": 151199, ""cooldown"": 88, ""insufficient_future_bars"": 1024, ""no_lower_boundary_touch"": 52682, ""plan_created"": 353, ""range_too_narrow"": 16923, ""volume_filter"": 1394}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,353,353,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19802, ""center_ban"": 151155, ""cooldown"": 88, ""insufficient_future_bars"": 1536, ""no_lower_boundary_touch"": 52393, ""plan_created"": 353, ""range_too_narrow"": 16891, ""volume_filter"": 1394}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,343,343,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19802, ""center_ban"": 151155, ""cooldown"": 88, ""insufficient_future_bars"": 1536, ""minimum_rr"": 10, ""no_lower_boundary_touch"": 52393, ""plan_created"": 343, ""range_too_narrow"": 16891, ""volume_filter"": 1394}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,333,333,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19637, ""center_ban"": 151066, ""cooldown"": 86, ""insufficient_future_bars"": 2048, ""minimum_rr"": 18, ""no_lower_boundary_touch"": 52235, ""plan_created"": 333, ""range_too_narrow"": 16811, ""volume_filter"": 1378}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,354,354,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18634, ""center_ban"": 153639, ""cooldown"": 112, ""insufficient_future_bars"": 3072, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 47831, ""plan_created"": 354, ""range_too_narrow"": 18170, ""volume_filter"": 1543}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_STRUCT_8H,soft,360,360,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18883, ""center_ban"": 154544, ""cooldown"": 113, ""insufficient_future_bars"": 1024, ""minimum_rr"": 59, ""no_lower_boundary_touch"": 48600, ""plan_created"": 360, ""range_too_narrow"": 18276, ""volume_filter"": 1554}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_STRUCT_12H,soft,360,360,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18819, ""center_ban"": 154349, ""cooldown"": 113, ""insufficient_future_bars"": 1536, ""minimum_rr"": 59, ""no_lower_boundary_touch"": 48349, ""plan_created"": 360, ""range_too_narrow"": 18276, ""volume_filter"": 1552}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_STRUCT_16H,soft,359,359,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18807, ""center_ban"": 153932, ""cooldown"": 113, ""insufficient_future_bars"": 2048, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 48286, ""plan_created"": 359, ""range_too_narrow"": 18258, ""volume_filter"": 1552}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,412,412,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18883, ""center_ban"": 154544, ""cooldown"": 120, ""insufficient_future_bars"": 1024, ""no_lower_boundary_touch"": 48600, ""plan_created"": 412, ""range_too_narrow"": 18276, ""volume_filter"": 1554}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,412,412,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18819, ""center_ban"": 154349, ""cooldown"": 120, ""insufficient_future_bars"": 1536, ""no_lower_boundary_touch"": 48349, ""plan_created"": 412, ""range_too_narrow"": 18276, ""volume_filter"": 1552}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,401,401,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18819, ""center_ban"": 154349, ""cooldown"": 120, ""insufficient_future_bars"": 1536, ""minimum_rr"": 11, ""no_lower_boundary_touch"": 48349, ""plan_created"": 401, ""range_too_narrow"": 18276, ""volume_filter"": 1552}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,391,391,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18807, ""center_ban"": 153932, ""cooldown"": 118, ""insufficient_future_bars"": 2048, ""minimum_rr"": 21, ""no_lower_boundary_touch"": 48286, ""plan_created"": 391, ""range_too_narrow"": 18258, ""volume_filter"": 1552}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,292,292,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20481, ""center_ban"": 145834, ""cooldown"": 85, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 51994, ""plan_created"": 292, ""range_too_narrow"": 20665, ""volume_filter"": 1251}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_STRUCT_8H,soft,294,294,"{""60m_trend_filter"": 619, ""below_15m_ema200"": 20815, ""center_ban"": 147052, ""cooldown"": 86, ""insufficient_future_bars"": 1024, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 52441, ""plan_created"": 294, ""range_too_narrow"": 20698, ""volume_filter"": 1255}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_STRUCT_12H,soft,293,293,"{""60m_trend_filter"": 617, ""below_15m_ema200"": 20554, ""center_ban"": 146988, ""cooldown"": 86, ""insufficient_future_bars"": 1536, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 52258, ""plan_created"": 293, ""range_too_narrow"": 20697, ""volume_filter"": 1255}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_STRUCT_16H,soft,292,292,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20508, ""center_ban"": 146722, ""cooldown"": 85, ""insufficient_future_bars"": 2048, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 52086, ""plan_created"": 292, ""range_too_narrow"": 20681, ""volume_filter"": 1252}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,327,327,"{""60m_trend_filter"": 619, ""below_15m_ema200"": 20815, ""center_ban"": 147052, ""cooldown"": 89, ""insufficient_future_bars"": 1024, ""no_lower_boundary_touch"": 52441, ""plan_created"": 327, ""range_too_narrow"": 20698, ""volume_filter"": 1255}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,326,326,"{""60m_trend_filter"": 617, ""below_15m_ema200"": 20554, ""center_ban"": 146988, ""cooldown"": 89, ""insufficient_future_bars"": 1536, ""no_lower_boundary_touch"": 52258, ""plan_created"": 326, ""range_too_narrow"": 20697, ""volume_filter"": 1255}"
