symbol,side,entry_time,priority_score,quality_decision,structure_decision,confidence_hint,risk_plan_reason
BNBUSDT,short,2026-04-19T15:30:00,98.520447,WATCH,WATCH,92.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.520447|vol_state=above_average|candle=neutral|prev_candle=bear_rejection|liq=none|pos=0.607862|prev_pos=0.758389|quality=80.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=range|ctx1d_dir=neutral|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=h4_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BNBUSDT,short,2026-04-20T07:30:00,98.644082,WATCH,WATCH,92.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.644082|vol_state=above_average|candle=bear_impulse|prev_candle=neutral|liq=none|pos=0.657841|prev_pos=0.844535|quality=80.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=range|ctx1d_dir=neutral|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=h4_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BCHUSDT,short,2026-05-04T13:45:00,101.439348,WATCH,WATCH,96.0,setup=pullback_resumption_strict|trigger=two_bar_strict|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.439348|vol_state=above_average|candle=bear_impulse|prev_candle=bull_rejection|liq=none|pos=0.500714|prev_pos=0.612143|quality=80.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BCHUSDT,short,2026-05-04T15:15:00,95.179459,WATCH,WATCH,89.0,setup=pullback_resumption|trigger=two_bar_balanced|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.279459|vol_state=surge|candle=bear_impulse|prev_candle=bear_impulse|liq=none|pos=0.356429|prev_pos=0.531429|quality=78.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
