symbol,side,entry_time,exit_time,entry,stop,exit,r_mult,source,kind,setup_type,trend_context,volatility_regime,structure_type,confidence_hint,target_policy,risk_grade,exit_reason,bars_held,risk_plan_reason,target_rr,stop_pct
BNBUSDT,short,2026-04-19T15:30:00,2026-04-19T23:30:00,624.53,635.022104,617.28,0.690996,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,92.0,normal_target,A,time_stop,32,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.520447|vol_state=above_average|candle=neutral|prev_candle=bear_rejection|liq=none|pos=0.607862|prev_pos=0.758389|quality=80.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=range|ctx1d_dir=neutral|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=h4_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BNBUSDT,short,2026-04-20T07:30:00,2026-04-20T15:30:00,624.83,635.327144,627.58,-0.261976,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,92.0,normal_target,A,time_stop,32,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.644082|vol_state=above_average|candle=bear_impulse|prev_candle=neutral|liq=none|pos=0.657841|prev_pos=0.844535|quality=80.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=range|ctx1d_dir=neutral|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=h4_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BCHUSDT,short,2026-05-04T13:45:00,2026-05-04T21:45:00,443.55,451.00164,444.21,-0.088571,candle_exit_simulator,pullback_resumption_strict,pullback_resumption_strict,trend,normal,trend_pullback,96.0,normal_target,A,time_stop,32,setup=pullback_resumption_strict|trigger=two_bar_strict|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.439348|vol_state=above_average|candle=bear_impulse|prev_candle=bull_rejection|liq=none|pos=0.500714|prev_pos=0.612143|quality=80.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BCHUSDT,short,2026-05-04T15:15:00,2026-05-04T23:15:00,441.53,448.947704,443.99,-0.331639,candle_exit_simulator,pullback_resumption,pullback_resumption,trend,normal,trend_pullback,89.0,normal_target,A,time_stop,32,setup=pullback_resumption|trigger=two_bar_balanced|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.279459|vol_state=surge|candle=bear_impulse|prev_candle=bear_impulse|liq=none|pos=0.356429|prev_pos=0.531429|quality=78.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
