group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,22490,289,22201,1.29,9.2e-05,0.0,0.005,0,415,22075
allowed,allowed,289,289,0,100.0,0.005,0.005,0.005,0,289,0
allowed,blocked,22201,0,22201,0.0,2.8e-05,0.0,0.005,0,126,22075
reason,allowed_full_balanced,289,289,0,100.0,0.005,0.005,0.005,0,289,0
reason,candle_type_filtered,36,0,36,0.0,0.0,0.0,0.0,0,0,36
reason,direction_context_filtered,37,0,37,0.0,0.0,0.0,0.0,0,0,37
reason,quality_skip,1083,0,1083,0.0,0.0,0.0,0.0,0,0,1083
reason,setup_filtered,2743,0,2743,0.0,0.000228,0.0,0.005,0,125,2618
reason,structure_skip,18271,0,18271,0.0,0.0,0.0,0.0,0,0,18271
reason,volume_ratio_filtered,31,0,31,0.0,0.000161,0.0,0.005,0,1,30
universe_state,allowed,22490,289,22201,1.29,9.2e-05,0.0,0.005,0,415,22075
quality_decision,SKIP,1083,0,1083,0.0,0.0,0.0,0.0,0,0,1083
quality_decision,TAKE,208,6,202,2.88,0.003173,0.0,0.005,0,132,76
quality_decision,WATCH,21199,283,20916,1.33,6.7e-05,0.0,0.005,0,283,20916
structure_decision,SKIP,19079,0,19079,0.0,0.0,0.0,0.0,0,0,19079
structure_decision,TAKE,1826,218,1608,11.94,0.000942,0.0,0.005,0,344,1482
structure_decision,WATCH,1585,71,1514,4.48,0.000224,0.0,0.005,0,71,1514
quality_x_structure,SKIP+SKIP,808,0,808,0.0,0.0,0.0,0.0,0,0,808
quality_x_structure,SKIP+TAKE,140,0,140,0.0,0.0,0.0,0.0,0,0,140
quality_x_structure,SKIP+WATCH,135,0,135,0.0,0.0,0.0,0.0,0,0,135
quality_x_structure,TAKE+SKIP,62,0,62,0.0,0.0,0.0,0.0,0,0,62
quality_x_structure,TAKE+TAKE,131,5,126,3.82,0.005,0.005,0.005,0,131,0
quality_x_structure,TAKE+WATCH,15,1,14,6.67,0.000333,0.0,0.005,0,1,14
quality_x_structure,WATCH+SKIP,18209,0,18209,0.0,0.0,0.0,0.0,0,0,18209
quality_x_structure,WATCH+TAKE,1555,213,1342,13.7,0.000685,0.0,0.005,0,213,1342
quality_x_structure,WATCH+WATCH,1435,70,1365,4.88,0.000244,0.0,0.005,0,70,1365
risk_bucket,reduced_risk,415,289,126,69.64,0.005,0.005,0.005,0,415,0
risk_bucket,zero_risk,22075,0,22075,0.0,0.0,0.0,0.0,0,0,22075
target_policy,allow_wider_trend_target,1498,210,1288,14.02,0.001111,0.0,0.005,0,333,1165
target_policy,no_trade,19079,0,19079,0.0,0.0,0.0,0.0,0,0,19079
target_policy,normal_target,1647,79,1568,4.8,0.00024,0.0,0.005,0,79,1568
target_policy,range_mid_or_opposite_boundary,266,0,266,0.0,5.6e-05,0.0,0.005,0,3,263
setup_type,breakout,17578,0,17578,0.0,3.5e-05,0.0,0.005,0,122,17456
setup_type,ignition,288,0,288,0.0,0.0,0.0,0.0,0,0,288
setup_type,liquidity_reclaim,1556,0,1556,0.0,0.0,0.0,0.0,0,0,1556
setup_type,pullback,767,263,504,34.29,0.001721,0.0,0.005,0,264,503
setup_type,pullback_resumption,25,19,6,76.0,0.0038,0.0,0.005,0,19,6
setup_type,pullback_resumption_strict,8,7,1,87.5,0.004375,0.0,0.005,0,7,1
setup_type,range_rotation,2157,0,2157,0.0,7e-06,0.0,0.005,0,3,2154
setup_type,watch_impulse,111,0,111,0.0,0.0,0.0,0.0,0,0,111
trend_context,range,932,0,932,0.0,1.6e-05,0.0,0.005,0,3,929
trend_context,trend,21558,289,21269,1.34,9.6e-05,0.0,0.005,0,412,21146
volatility_regime,high,15419,0,15419,0.0,0.0,0.0,0.0,0,0,15419
volatility_regime,low,1290,33,1257,2.56,0.00057,0.0,0.005,0,147,1143
volatility_regime,normal,5781,256,5525,4.43,0.000232,0.0,0.005,0,268,5513
