scope,setup_type,reason,count,pct_of_scope
all,all,structure_skip,10436,95.1322
all,all,quality_skip,337,3.072
all,all,setup_filtered,192,1.7502
all,all,allowed_full_balanced,4,0.0365
all,all,direction_context_filtered,1,0.0091
setup,breakout,structure_skip,8806,100.0
setup,ignition,setup_filtered,22,14.6667
setup,ignition,structure_skip,128,85.3333
setup,liquidity_reclaim,quality_skip,63,9.1837
setup,liquidity_reclaim,setup_filtered,104,15.1603
setup,liquidity_reclaim,structure_skip,519,75.656
setup,pullback,allowed_full_balanced,2,1.1561
setup,pullback,direction_context_filtered,1,0.578
setup,pullback,structure_skip,170,98.2659
setup,pullback_resumption,allowed_full_balanced,1,100.0
setup,pullback_resumption_strict,allowed_full_balanced,1,100.0
setup,range_rotation,quality_skip,274,25.7036
setup,range_rotation,setup_filtered,36,3.3771
setup,range_rotation,structure_skip,756,70.9193
setup,watch_impulse,setup_filtered,30,34.4828
setup,watch_impulse,structure_skip,57,65.5172
