group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,21328,15,21313,0.07,4e-06,0.0,0.005,0,15,21313
allowed,allowed,15,15,0,100.0,0.005,0.005,0.005,0,15,0
allowed,blocked,21313,0,21313,0.0,0.0,0.0,0.0,0,0,21313
reason,allowed_full_balanced,15,15,0,100.0,0.005,0.005,0.005,0,15,0
reason,candle_type_filtered,7,0,7,0.0,0.0,0.0,0.0,0,0,7
reason,direction_context_filtered,29,0,29,0.0,0.0,0.0,0.0,0,0,29
reason,quality_skip,2217,0,2217,0.0,0.0,0.0,0.0,0,0,2217
reason,setup_filtered,4113,0,4113,0.0,0.0,0.0,0.0,0,0,4113
reason,structure_skip,14945,0,14945,0.0,0.0,0.0,0.0,0,0,14945
reason,volume_ratio_filtered,2,0,2,0.0,0.0,0.0,0.0,0,0,2
universe_state,allowed,21328,15,21313,0.07,4e-06,0.0,0.005,0,15,21313
quality_decision,SKIP,2217,0,2217,0.0,0.0,0.0,0.0,0,0,2217
quality_decision,TAKE,21,0,21,0.0,0.0,0.0,0.0,0,0,21
quality_decision,WATCH,19090,15,19075,0.08,4e-06,0.0,0.005,0,15,19075
structure_decision,SKIP,16477,0,16477,0.0,0.0,0.0,0.0,0,0,16477
structure_decision,TAKE,1287,0,1287,0.0,0.0,0.0,0.0,0,0,1287
structure_decision,WATCH,3564,15,3549,0.42,2.1e-05,0.0,0.005,0,15,3549
quality_x_structure,SKIP+SKIP,1532,0,1532,0.0,0.0,0.0,0.0,0,0,1532
quality_x_structure,SKIP+TAKE,416,0,416,0.0,0.0,0.0,0.0,0,0,416
quality_x_structure,SKIP+WATCH,269,0,269,0.0,0.0,0.0,0.0,0,0,269
quality_x_structure,TAKE+SKIP,19,0,19,0.0,0.0,0.0,0.0,0,0,19
quality_x_structure,TAKE+WATCH,2,0,2,0.0,0.0,0.0,0.0,0,0,2
quality_x_structure,WATCH+SKIP,14926,0,14926,0.0,0.0,0.0,0.0,0,0,14926
quality_x_structure,WATCH+TAKE,871,0,871,0.0,0.0,0.0,0.0,0,0,871
quality_x_structure,WATCH+WATCH,3293,15,3278,0.46,2.3e-05,0.0,0.005,0,15,3278
risk_bucket,reduced_risk,15,15,0,100.0,0.005,0.005,0.005,0,15,0
risk_bucket,zero_risk,21313,0,21313,0.0,0.0,0.0,0.0,0,0,21313
target_policy,allow_wider_trend_target,1030,2,1028,0.19,1e-05,0.0,0.005,0,2,1028
target_policy,no_trade,16477,0,16477,0.0,0.0,0.0,0.0,0,0,16477
target_policy,normal_target,3566,13,3553,0.36,1.8e-05,0.0,0.005,0,13,3553
target_policy,range_mid_or_opposite_boundary,255,0,255,0.0,0.0,0.0,0.0,0,0,255
setup_type,breakout,17271,0,17271,0.0,0.0,0.0,0.0,0,0,17271
setup_type,ignition,390,0,390,0.0,0.0,0.0,0.0,0,0,390
setup_type,liquidity_reclaim,1425,0,1425,0.0,0.0,0.0,0.0,0,0,1425
setup_type,pullback,743,6,737,0.81,4e-05,0.0,0.005,0,6,737
setup_type,pullback_resumption,10,5,5,50.0,0.0025,0.0,0.005,0,5,5
setup_type,pullback_resumption_strict,5,4,1,80.0,0.004,0.0,0.005,0,4,1
setup_type,range_rotation,1424,0,1424,0.0,0.0,0.0,0.0,0,0,1424
setup_type,watch_impulse,60,0,60,0.0,0.0,0.0,0.0,0,0,60
trend_context,range,664,0,664,0.0,0.0,0.0,0.0,0,0,664
trend_context,trend,20664,15,20649,0.07,4e-06,0.0,0.005,0,15,20649
volatility_regime,high,16070,0,16070,0.0,0.0,0.0,0.0,0,0,16070
volatility_regime,low,1090,3,1087,0.28,1.4e-05,0.0,0.005,0,3,1087
volatility_regime,normal,4168,12,4156,0.29,1.4e-05,0.0,0.005,0,12,4156
