fold,validation_start,validation_end,candidate,learning,plans,generated_trades,reason_counts
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_FIXED_RR17_RAW,raw,347,347,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19624, ""center_ban"": 150402, ""cooldown"": 85, ""insufficient_future_bars"": 3072, ""no_lower_boundary_touch"": 51973, ""plan_created"": 347, ""range_too_narrow"": 16745, ""volume_filter"": 1364}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_RANGE_ONLY_RAW,raw,3976,3976,"{""center_ban"": 152400, ""cooldown"": 2241, ""insufficient_future_bars"": 3072, ""minimum_rr"": 300, ""no_lower_boundary_touch"": 53811, ""plan_created"": 3976, ""range_too_narrow"": 16938, ""volume_filter"": 16382}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_RECOVERED_BASE_RAW,raw,354,354,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18634, ""center_ban"": 153639, ""cooldown"": 112, ""insufficient_future_bars"": 3072, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 47831, ""plan_created"": 354, ""range_too_narrow"": 18170, ""volume_filter"": 1543}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_RECOVERED_BASE_SOFT,soft,354,354,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18634, ""center_ban"": 153639, ""cooldown"": 112, ""insufficient_future_bars"": 3072, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 47831, ""plan_created"": 354, ""range_too_narrow"": 18170, ""volume_filter"": 1543}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_NO_60M_FILTER_RAW,raw,479,479,"{""below_15m_ema200"": 18634, ""center_ban"": 153639, ""cooldown"": 134, ""insufficient_future_bars"": 3072, ""minimum_rr"": 75, ""no_lower_boundary_touch"": 47831, ""plan_created"": 479, ""range_too_narrow"": 18170, ""volume_filter"": 2254}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_FIXED_VOLUME_18_RAW,raw,359,359,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18634, ""center_ban"": 153639, ""cooldown"": 116, ""insufficient_future_bars"": 3072, ""minimum_rr"": 61, ""no_lower_boundary_touch"": 47831, ""plan_created"": 359, ""range_too_narrow"": 18170, ""volume_filter"": 1531}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_FIXED_RR17_RAW,raw,405,405,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18634, ""center_ban"": 153639, ""cooldown"": 119, ""insufficient_future_bars"": 3072, ""no_lower_boundary_touch"": 47831, ""plan_created"": 405, ""range_too_narrow"": 18170, ""volume_filter"": 1543}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_RANGE_ONLY_RAW,raw,3764,3764,"{""center_ban"": 156246, ""cooldown"": 2119, ""insufficient_future_bars"": 3072, ""minimum_rr"": 302, ""no_lower_boundary_touch"": 49251, ""plan_created"": 3764, ""range_too_narrow"": 18315, ""volume_filter"": 16019}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_RECOVERED_BASE_RAW,raw,292,292,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20481, ""center_ban"": 145834, ""cooldown"": 85, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 51994, ""plan_created"": 292, ""range_too_narrow"": 20665, ""volume_filter"": 1251}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_RECOVERED_BASE_SOFT,soft,292,292,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20481, ""center_ban"": 145834, ""cooldown"": 85, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 51994, ""plan_created"": 292, ""range_too_narrow"": 20665, ""volume_filter"": 1251}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_NO_60M_FILTER_RAW,raw,396,396,"{""below_15m_ema200"": 20481, ""center_ban"": 145834, ""cooldown"": 124, ""insufficient_future_bars"": 3072, ""minimum_rr"": 48, ""no_lower_boundary_touch"": 51994, ""plan_created"": 396, ""range_too_narrow"": 20665, ""volume_filter"": 1706}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_FIXED_VOLUME_18_RAW,raw,279,279,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20481, ""center_ban"": 145834, ""cooldown"": 88, ""insufficient_future_bars"": 3072, ""minimum_rr"": 35, ""no_lower_boundary_touch"": 51994, ""plan_created"": 279, ""range_too_narrow"": 20665, ""volume_filter"": 1262}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_FIXED_RR17_RAW,raw,325,325,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20481, ""center_ban"": 145834, ""cooldown"": 88, ""insufficient_future_bars"": 3072, ""no_lower_boundary_touch"": 51994, ""plan_created"": 325, ""range_too_narrow"": 20665, ""volume_filter"": 1251}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_RANGE_ONLY_RAW,raw,3936,3936,"{""center_ban"": 149696, ""cooldown"": 2423, ""insufficient_future_bars"": 3072, ""minimum_rr"": 313, ""no_lower_boundary_touch"": 52390, ""plan_created"": 3936, ""range_too_narrow"": 21090, ""volume_filter"": 16200}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_RECOVERED_BASE_RAW,raw,218,218,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 21780, ""center_ban"": 148773, ""cooldown"": 69, ""insufficient_future_bars"": 3072, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 54953, ""plan_created"": 218, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_RECOVERED_BASE_SOFT,soft,218,218,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 21780, ""center_ban"": 148773, ""cooldown"": 69, ""insufficient_future_bars"": 3072, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 54953, ""plan_created"": 218, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
